R.Shift,azeite_oliva,azeite_oliva1,azeite_oliva2,oleo_canola media,oleo_canola1,oleo_canola2,oleo_girassol media,oleo_girassol1,oleo_girassol2,oleo_maria media,oleo_maria1,oleo_maria2,oleo_milho media,oleo_milho1,oleo_milho2,oleo_soja media,oleo_soja1,oleo_soja2
448.458,-0.00093266,-0.000934295,-0.000931025,-0.000784075,-0.000991409,-0.000576741,-0.001023137,-0.001021741,-0.001024532,-0.00102727,-0.001094456,-0.000960084,-0.000798031,-0.000711961,-0.000884102,-0.000853976,-0.000934588,-0.000773364
450.486,-0.000883024,-0.000849183,-0.000916865,-0.000785681,-0.000944668,-0.000626694,-0.000992181,-0.000980109,-0.001004253,-0.00099379,-0.000986695,-0.001000886,-0.000832932,-0.000731151,-0.000934713,-0.000819696,-0.000898687,-0.000740704
452.514,-0.000867182,-0.000884628,-0.000849735,-0.000754385,-0.000873674,-0.000635095,-0.001014613,-0.000981283,-0.001047943,-0.000992513,-0.001007668,-0.000977358,-0.000846693,-0.000758195,-0.00093519,-0.000843665,-0.000933707,-0.000753624
454.541,-0.000799494,-0.000785022,-0.000813966,-0.000762132,-0.000887831,-0.000636432,-0.001023929,-0.001020487,-0.00102737,-0.000896868,-0.000925172,-0.000868565,-0.00082146,-0.000743631,-0.000899289,-0.000896848,-0.00093746,-0.000856237
456.567,-0.000748265,-0.000696034,-0.000800496,-0.000788301,-0.000878052,-0.00069855,-0.000925778,-0.000912549,-0.000939007,-0.000907368,-0.001008993,-0.000805742,-0.000822708,-0.000771869,-0.000873546,-0.000835976,-0.000888848,-0.000783104
458.592,-0.000698195,-0.00064439,-0.000752,-0.000756469,-0.000793484,-0.000719454,-0.000851287,-0.000816613,-0.000885962,-0.000891031,-0.000990416,-0.000791645,-0.000870131,-0.000762075,-0.000978188,-0.000885466,-0.000952724,-0.000818208
460.616,-0.000708529,-0.000732834,-0.000684223,-0.000779551,-0.000821492,-0.00073761,-0.000863373,-0.000861829,-0.000864917,-0.000857709,-0.001024038,-0.000691379,-0.000771099,-0.000638906,-0.000903291,-0.000825585,-0.000837705,-0.000813464
462.64,-0.000780946,-0.000760386,-0.000801506,-0.000725262,-0.000809264,-0.000641261,-0.000873082,-0.000906283,-0.00083988,-0.000797045,-0.001014297,-0.000579793,-0.000773107,-0.000613012,-0.000933202,-0.000858483,-0.000912562,-0.000804404
464.662,-0.000771256,-0.000692852,-0.00084966,-0.000675989,-0.000795614,-0.000556365,-0.000836111,-0.000899827,-0.000772396,-0.000714164,-0.000905323,-0.000523005,-0.000786389,-0.000633586,-0.000939192,-0.000811453,-0.000949985,-0.000672921
466.684,-0.00078594,-0.000732149,-0.000839731,-0.000649265,-0.000720976,-0.000577553,-0.000816426,-0.000952095,-0.000680758,-0.000670121,-0.000842511,-0.000497731,-0.00089561,-0.00080363,-0.000987591,-0.000815864,-0.000921896,-0.000709831
468.705,-0.000718356,-0.000736626,-0.000700085,-0.000620945,-0.000675144,-0.000566746,-0.000855187,-0.001003069,-0.000707305,-0.000620572,-0.000778808,-0.000462337,-0.000918077,-0.000894944,-0.000941211,-0.000820763,-0.000927526,-0.000714
470.724,-0.000684905,-0.00065055,-0.000719261,-0.000667633,-0.000764764,-0.000570501,-0.000822122,-0.000897066,-0.000747177,-0.00050471,-0.000663754,-0.000345667,-0.000857302,-0.000893885,-0.00082072,-0.000897193,-0.000933701,-0.000860684
472.743,-0.000662436,-0.000637308,-0.000687564,-0.000710305,-0.000791871,-0.000628739,-0.000805519,-0.000812211,-0.000798827,-0.000562791,-0.000696503,-0.000429079,-0.00080295,-0.000867788,-0.000738111,-0.000823655,-0.000908602,-0.000738708
474.761,-0.000585174,-0.000494022,-0.000676325,-0.000689519,-0.000690994,-0.000688044,-0.000815469,-0.000711231,-0.000919706,-0.000600193,-0.000647819,-0.000552567,-0.000796611,-0.000806821,-0.0007864,-0.00083664,-0.000921602,-0.000751677
476.779,-0.000544882,-0.000458747,-0.000631017,-0.000700686,-0.000696613,-0.000704759,-0.000824318,-0.000728188,-0.000920447,-0.000618809,-0.000624985,-0.000612633,-0.000778321,-0.000715568,-0.000841073,-0.000791247,-0.000812738,-0.000769756
478.795,-0.000533428,-0.000372872,-0.000693984,-0.000667723,-0.000732818,-0.000602629,-0.000841185,-0.000715255,-0.000967116,-0.000657809,-0.000653205,-0.000662412,-0.000775037,-0.00068353,-0.000866545,-0.000775904,-0.000809271,-0.000742536
480.81,-0.000512354,-0.000355776,-0.000668932,-0.0006512,-0.00074939,-0.00055301,-0.000767602,-0.000627074,-0.00090813,-0.000582523,-0.000568778,-0.000596267,-0.000770107,-0.000724849,-0.000815366,-0.000725002,-0.000813071,-0.000636933
482.825,-0.000437064,-0.000309994,-0.000564133,-0.000638751,-0.000727843,-0.000549658,-0.000765096,-0.000725808,-0.000804384,-0.00062712,-0.000523163,-0.000731078,-0.000836671,-0.000718677,-0.000954665,-0.000735797,-0.000809298,-0.000662297
484.838,-0.000458605,-0.000400141,-0.00051707,-0.000605669,-0.000736064,-0.000475274,-0.000790091,-0.000738052,-0.00084213,-0.00065204,-0.000556218,-0.000747863,-0.000809053,-0.000708841,-0.000909264,-0.000711631,-0.000796434,-0.000626828
486.851,-0.000548632,-0.000498704,-0.000598561,-0.000618835,-0.000811925,-0.000425744,-0.000777644,-0.000796157,-0.000759131,-0.000666686,-0.000648248,-0.000685124,-0.000684154,-0.000551954,-0.000816354,-0.000723322,-0.000811323,-0.000635321
488.863,-0.000591433,-0.000607055,-0.000575811,-0.000611674,-0.000762938,-0.000460411,-0.000783829,-0.000838477,-0.000729182,-0.000719393,-0.000740564,-0.000698222,-0.000601327,-0.000476748,-0.000725906,-0.000707254,-0.000849137,-0.000565372
490.874,-0.000610914,-0.00063274,-0.000589088,-0.000640776,-0.000700943,-0.000580609,-0.000796124,-0.000839411,-0.000752838,-0.000730895,-0.000785485,-0.000676306,-0.000656891,-0.000542786,-0.000770995,-0.000710139,-0.000842823,-0.000577454
492.884,-0.000588028,-0.000581637,-0.00059442,-0.000652447,-0.000714394,-0.000590499,-0.000791166,-0.000902612,-0.00067972,-0.000692301,-0.000774631,-0.000609972,-0.000696182,-0.000569119,-0.000823245,-0.000743397,-0.000868566,-0.000618227
494.893,-0.000676416,-0.00070189,-0.000650941,-0.000717955,-0.00076897,-0.00066694,-0.000819422,-0.000992647,-0.000646197,-0.000690542,-0.000830966,-0.000550118,-0.00065635,-0.000546698,-0.000766002,-0.000761423,-0.000825217,-0.000697629
496.902,-0.000721307,-0.000743898,-0.000698717,-0.00073817,-0.000824845,-0.000651495,-0.000701949,-0.000835096,-0.000568802,-0.00060292,-0.000754335,-0.000451505,-0.000686183,-0.000549763,-0.000822602,-0.000723178,-0.000745988,-0.000700368
